comment,positive,negative,rude,offensive,abusive,hate speech
گھڑی چور,0,1,1,0,0,0
ممے بڑے ودھیا نے ہاہاہاہاہا,0,1,1,0,0,0
نام جنت کام دوزخیوں والے,0,1,1,0,0,0
گراونڈ چھوڑ کر بھاگنے والا,0,1,1,0,0,0
خواہش تیرے جسم کے ہر حصے پر زبان کے بل چلوں,0,1,0,1,1,0
اسکے ماں باپ نے ستی شہرت کے لیے اسکا بیڑا غرق کر دیا,0,1,1,0,0,0
خدا کا واسطہ اس چڑیل کی شکل مت دکھائے\nفلیز اسکا دوست دوست مزاری,0,1,0,1,1,0
گھوڑی,0,1,1,0,0,0
دو جگہ ٹائم دیا ہوا ہے اس لئے دو پہنی ہیی سستی گشتی نے,0,1,0,1,1,0
یہی وو منحوس گھڑی تھی,0,1,1,0,0,0
کھسرا ن لیگ کا,0,1,0,1,1,0
بہوسڑی کا,0,1,0,1,1,0
لہنتی,0,1,0,1,1,0
یہ تو پٹوارن نکلی لکھ,0,1,1,0,0,0
اسے اس کا کیلا پسند آگیا ہے,0,1,0,1,1,0
کافی عجیب ٹیڑھے میڑھے انداز میں ہوئی ہیں باجی,0,1,1,0,0,0
عقل نہ ہوئے تے موجاں ای موجاں یوتھنی,0,1,1,0,0,0
یہ والے بھی عمرانڈو بن گئے اخ تھوووو,0,1,1,0,0,0
خان کی رکھیل گشتی,0,1,0,1,1,0
پہلے پیاری تھی اب تو ہر آنے والے دن چڑیل لگ رہی ہے,0,1,1,0,0,0
نشئی بڈھا لنگڑا گھڑی چور,0,1,0,1,1,0
تم تمکو سردی نئی لگتا کتنا خراب لباس پہنا ہے,0,1,1,0,0,0
پین یکو کسے بندے دی وی فوٹو لا دیو کدی,0,1,0,1,1,0
توشہ خانہ چور,0,1,0,1,1,0
بہن یکو سیدھا آکھو ممے ویکھو افففففف,0,1,0,1,1,0
ڈرامہ خان,0,1,1,0,0,0
لنگڑا,0,1,1,0,0,0
بھڑوا,0,1,1,0,0,0
جاہل,0,1,1,0,0,0
اور حجاب کے نیچے والا پورشن اس بھی ڈھانپنا تھا,0,1,1,0,0,0
تم جان بوجھ کر اس کو گالیاں پڑواتے ہو,0,1,1,0,0,0
وہ پاکستان سے نفرت کرتی ہے اور آپ لوگ اسکی پروموشن کررہے ہیں بند کریں یہ سب کچھ اور آگے کسی افغانی مفغانی کا تصویر یا ٹویٹ ریٹویٹ نہ کریں شکریہ,0,1,1,0,0,0
کرسی مانگ رہا تھا ویل چئیر دے دی قصہ ختم,0,1,1,0,0,0
فراڈیا,0,1,1,0,0,0
اس جھوٹے انسان کے لیے کوئی الفاظ نہیں ہمارے پاس پہر بھی جھوٹا ایکٹر,0,1,1,0,0,0
پاکستان کی ترقی کا سب سے بڑا دشمن,0,1,1,0,0,0
دو منحوس ایک تصویر میں\n\nدو ایکٹر\n\nدو سیکریپٹ پڑھنے والے,0,1,1,0,0,0
لنگڑا شیطان,0,1,1,0,0,0
ڈھونگی ایکساتھ,0,1,1,0,0,0
ماسٹر پینٹ سے تھوبڑا چمکایا ہوا ہے,0,1,1,0,0,0
لعنت ایڈمن تیری چوائس تے,0,1,1,0,0,0
لیک ویڈیوز بنا کر بلیییک مییل کرنے کیلیئے بہت ہی موزوں میٹیریل,0,1,1,0,0,0
خان صاحب پلاتر اتار دیں زخم پر کبھی پلستر نہیں لگایا جات خدانخواستہ الی لگ جائے گی آپکی ٹانگ کو,0,1,1,0,0,0
جھوٹا ایکٹر,0,1,1,0,0,0
ڈھکن,0,1,1,0,0,0
